slug,title,assetType,localPath,publicUrl,postUrl,socialAngle,qualityScore,qualityTier,reviewStatus,googleDriveStatus
the-higher-self-protocol,The Higher Self Protocol,social-portrait,public/images/social/blog/the-higher-self-protocol/portrait.png,/images/social/blog/the-higher-self-protocol/portrait.png,https://www.frankx.ai/blog/the-higher-self-protocol,builder,9,flagship,accepted,pending-upload-after-reauth
agentic-os-family-foundry-launch,Agentic OS Family Foundry,hero,public/images/blog/generated/agentic-os-family-foundry-launch-premium-hero.png,/images/blog/generated/agentic-os-family-foundry-launch-premium-hero.png,https://www.frankx.ai/blog/agentic-os-family-foundry-launch,founder,9,flagship,accepted,pending-upload-after-reauth
agentic-os-family-foundry-launch,Agentic OS Family Foundry,social-wide,public/images/social/blog/agentic-os-family-foundry-launch/wide.png,/images/social/blog/agentic-os-family-foundry-launch/wide.png,https://www.frankx.ai/blog/agentic-os-family-foundry-launch,founder,9,flagship,accepted,pending-upload-after-reauth
agentic-os-family-foundry-launch,Agentic OS Family Foundry,social-square,public/images/social/blog/agentic-os-family-foundry-launch/square.png,/images/social/blog/agentic-os-family-foundry-launch/square.png,https://www.frankx.ai/blog/agentic-os-family-foundry-launch,founder,9,flagship,accepted,pending-upload-after-reauth
agentic-os-family-foundry-launch,Agentic OS Family Foundry,social-portrait,public/images/social/blog/agentic-os-family-foundry-launch/portrait.png,/images/social/blog/agentic-os-family-foundry-launch/portrait.png,https://www.frankx.ai/blog/agentic-os-family-foundry-launch,founder,9,flagship,accepted,pending-upload-after-reauth
deepseek-v4-analysis-2026,DeepSeek V4: Sparse Frontier Reasoning,hero,public/images/blog/generated/deepseek-v4-analysis-2026-premium-hero.png,/images/blog/generated/deepseek-v4-analysis-2026-premium-hero.png,https://www.frankx.ai/blog/deepseek-v4-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
deepseek-v4-analysis-2026,DeepSeek V4: Sparse Frontier Reasoning,social-wide,public/images/social/blog/deepseek-v4-analysis-2026/wide.png,/images/social/blog/deepseek-v4-analysis-2026/wide.png,https://www.frankx.ai/blog/deepseek-v4-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
deepseek-v4-analysis-2026,DeepSeek V4: Sparse Frontier Reasoning,social-square,public/images/social/blog/deepseek-v4-analysis-2026/square.png,/images/social/blog/deepseek-v4-analysis-2026/square.png,https://www.frankx.ai/blog/deepseek-v4-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
deepseek-v4-analysis-2026,DeepSeek V4: Sparse Frontier Reasoning,social-portrait,public/images/social/blog/deepseek-v4-analysis-2026/portrait.png,/images/social/blog/deepseek-v4-analysis-2026/portrait.png,https://www.frankx.ai/blog/deepseek-v4-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
gemini-3-5-pro-analysis-2026,Gemini 3.5 Pro: Before GA,hero,public/images/blog/generated/gemini-3-5-pro-analysis-2026-premium-hero.png,/images/blog/generated/gemini-3-5-pro-analysis-2026-premium-hero.png,https://www.frankx.ai/blog/gemini-3-5-pro-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
gemini-3-5-pro-analysis-2026,Gemini 3.5 Pro: Before GA,social-wide,public/images/social/blog/gemini-3-5-pro-analysis-2026/wide.png,/images/social/blog/gemini-3-5-pro-analysis-2026/wide.png,https://www.frankx.ai/blog/gemini-3-5-pro-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
gemini-3-5-pro-analysis-2026,Gemini 3.5 Pro: Before GA,social-square,public/images/social/blog/gemini-3-5-pro-analysis-2026/square.png,/images/social/blog/gemini-3-5-pro-analysis-2026/square.png,https://www.frankx.ai/blog/gemini-3-5-pro-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
gemini-3-5-pro-analysis-2026,Gemini 3.5 Pro: Before GA,social-portrait,public/images/social/blog/gemini-3-5-pro-analysis-2026/portrait.png,/images/social/blog/gemini-3-5-pro-analysis-2026/portrait.png,https://www.frankx.ai/blog/gemini-3-5-pro-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
gpt-5-5-analysis-2026,GPT-5.5: Agentic Workflow Shift,hero,public/images/blog/generated/gpt-5-5-analysis-2026-premium-hero.png,/images/blog/generated/gpt-5-5-analysis-2026-premium-hero.png,https://www.frankx.ai/blog/gpt-5-5-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
gpt-5-5-analysis-2026,GPT-5.5: Agentic Workflow Shift,social-wide,public/images/social/blog/gpt-5-5-analysis-2026/wide.png,/images/social/blog/gpt-5-5-analysis-2026/wide.png,https://www.frankx.ai/blog/gpt-5-5-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
gpt-5-5-analysis-2026,GPT-5.5: Agentic Workflow Shift,social-square,public/images/social/blog/gpt-5-5-analysis-2026/square.png,/images/social/blog/gpt-5-5-analysis-2026/square.png,https://www.frankx.ai/blog/gpt-5-5-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
gpt-5-5-analysis-2026,GPT-5.5: Agentic Workflow Shift,social-portrait,public/images/social/blog/gpt-5-5-analysis-2026/portrait.png,/images/social/blog/gpt-5-5-analysis-2026/portrait.png,https://www.frankx.ai/blog/gpt-5-5-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
gpt-oss-analysis-2026,gpt-oss: Open-Weight Reality Check,hero,public/images/blog/generated/gpt-oss-analysis-2026-premium-hero.png,/images/blog/generated/gpt-oss-analysis-2026-premium-hero.png,https://www.frankx.ai/blog/gpt-oss-analysis-2026,developer,9,flagship,accepted,pending-upload-after-reauth
gpt-oss-analysis-2026,gpt-oss: Open-Weight Reality Check,social-wide,public/images/social/blog/gpt-oss-analysis-2026/wide.png,/images/social/blog/gpt-oss-analysis-2026/wide.png,https://www.frankx.ai/blog/gpt-oss-analysis-2026,developer,9,flagship,accepted,pending-upload-after-reauth
gpt-oss-analysis-2026,gpt-oss: Open-Weight Reality Check,social-square,public/images/social/blog/gpt-oss-analysis-2026/square.png,/images/social/blog/gpt-oss-analysis-2026/square.png,https://www.frankx.ai/blog/gpt-oss-analysis-2026,developer,9,flagship,accepted,pending-upload-after-reauth
gpt-oss-analysis-2026,gpt-oss: Open-Weight Reality Check,social-portrait,public/images/social/blog/gpt-oss-analysis-2026/portrait.png,/images/social/blog/gpt-oss-analysis-2026/portrait.png,https://www.frankx.ai/blog/gpt-oss-analysis-2026,developer,9,flagship,accepted,pending-upload-after-reauth
grok-4-3-analysis-2026,Grok 4.3: Capability vs Price,hero,public/images/blog/generated/grok-4-3-analysis-2026-premium-hero.png,/images/blog/generated/grok-4-3-analysis-2026-premium-hero.png,https://www.frankx.ai/blog/grok-4-3-analysis-2026,investor,8,premium,accepted,pending-upload-after-reauth
grok-4-3-analysis-2026,Grok 4.3: Capability vs Price,social-wide,public/images/social/blog/grok-4-3-analysis-2026/wide.png,/images/social/blog/grok-4-3-analysis-2026/wide.png,https://www.frankx.ai/blog/grok-4-3-analysis-2026,investor,8,premium,accepted,pending-upload-after-reauth
grok-4-3-analysis-2026,Grok 4.3: Capability vs Price,social-square,public/images/social/blog/grok-4-3-analysis-2026/square.png,/images/social/blog/grok-4-3-analysis-2026/square.png,https://www.frankx.ai/blog/grok-4-3-analysis-2026,investor,8,premium,accepted,pending-upload-after-reauth
grok-4-3-analysis-2026,Grok 4.3: Capability vs Price,social-portrait,public/images/social/blog/grok-4-3-analysis-2026/portrait.png,/images/social/blog/grok-4-3-analysis-2026/portrait.png,https://www.frankx.ai/blog/grok-4-3-analysis-2026,investor,8,premium,accepted,pending-upload-after-reauth
kimi-k2-analysis-2026,Kimi K2: Long-Horizon Agents,hero,public/images/blog/generated/kimi-k2-analysis-2026-premium-hero.png,/images/blog/generated/kimi-k2-analysis-2026-premium-hero.png,https://www.frankx.ai/blog/kimi-k2-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
kimi-k2-analysis-2026,Kimi K2: Long-Horizon Agents,social-wide,public/images/social/blog/kimi-k2-analysis-2026/wide.png,/images/social/blog/kimi-k2-analysis-2026/wide.png,https://www.frankx.ai/blog/kimi-k2-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
kimi-k2-analysis-2026,Kimi K2: Long-Horizon Agents,social-square,public/images/social/blog/kimi-k2-analysis-2026/square.png,/images/social/blog/kimi-k2-analysis-2026/square.png,https://www.frankx.ai/blog/kimi-k2-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
kimi-k2-analysis-2026,Kimi K2: Long-Horizon Agents,social-portrait,public/images/social/blog/kimi-k2-analysis-2026/portrait.png,/images/social/blog/kimi-k2-analysis-2026/portrait.png,https://www.frankx.ai/blog/kimi-k2-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
llama-4-analysis-2026,Llama 4: Open Flagship Pressure,hero,public/images/blog/generated/llama-4-analysis-2026-premium-hero.png,/images/blog/generated/llama-4-analysis-2026-premium-hero.png,https://www.frankx.ai/blog/llama-4-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
llama-4-analysis-2026,Llama 4: Open Flagship Pressure,social-wide,public/images/social/blog/llama-4-analysis-2026/wide.png,/images/social/blog/llama-4-analysis-2026/wide.png,https://www.frankx.ai/blog/llama-4-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
llama-4-analysis-2026,Llama 4: Open Flagship Pressure,social-square,public/images/social/blog/llama-4-analysis-2026/square.png,/images/social/blog/llama-4-analysis-2026/square.png,https://www.frankx.ai/blog/llama-4-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
llama-4-analysis-2026,Llama 4: Open Flagship Pressure,social-portrait,public/images/social/blog/llama-4-analysis-2026/portrait.png,/images/social/blog/llama-4-analysis-2026/portrait.png,https://www.frankx.ai/blog/llama-4-analysis-2026,developer,8,premium,accepted,pending-upload-after-reauth
qwen3-max-analysis-2026,Qwen3 Max: Agent Flagship,hero,public/images/blog/generated/qwen3-max-analysis-2026-premium-hero.png,/images/blog/generated/qwen3-max-analysis-2026-premium-hero.png,https://www.frankx.ai/blog/qwen3-max-analysis-2026,developer,9,flagship,accepted,pending-upload-after-reauth
qwen3-max-analysis-2026,Qwen3 Max: Agent Flagship,social-wide,public/images/social/blog/qwen3-max-analysis-2026/wide.png,/images/social/blog/qwen3-max-analysis-2026/wide.png,https://www.frankx.ai/blog/qwen3-max-analysis-2026,developer,9,flagship,accepted,pending-upload-after-reauth
qwen3-max-analysis-2026,Qwen3 Max: Agent Flagship,social-square,public/images/social/blog/qwen3-max-analysis-2026/square.png,/images/social/blog/qwen3-max-analysis-2026/square.png,https://www.frankx.ai/blog/qwen3-max-analysis-2026,developer,9,flagship,accepted,pending-upload-after-reauth
qwen3-max-analysis-2026,Qwen3 Max: Agent Flagship,social-portrait,public/images/social/blog/qwen3-max-analysis-2026/portrait.png,/images/social/blog/qwen3-max-analysis-2026/portrait.png,https://www.frankx.ai/blog/qwen3-max-analysis-2026,developer,9,flagship,accepted,pending-upload-after-reauth
creator-intelligence-systems-2026,Creator Intelligence Systems,hero,public/images/blog/generated/creator-intelligence-systems-2026-premium-hero.png,/images/blog/generated/creator-intelligence-systems-2026-premium-hero.png,https://www.frankx.ai/blog/creator-intelligence-systems-2026,creator,9,flagship,accepted,pending-upload-after-reauth
creator-intelligence-systems-2026,Creator Intelligence Systems,social-wide,public/images/social/blog/creator-intelligence-systems-2026/wide.png,/images/social/blog/creator-intelligence-systems-2026/wide.png,https://www.frankx.ai/blog/creator-intelligence-systems-2026,creator,9,flagship,accepted,pending-upload-after-reauth
creator-intelligence-systems-2026,Creator Intelligence Systems,social-square,public/images/social/blog/creator-intelligence-systems-2026/square.png,/images/social/blog/creator-intelligence-systems-2026/square.png,https://www.frankx.ai/blog/creator-intelligence-systems-2026,creator,9,flagship,accepted,pending-upload-after-reauth
creator-intelligence-systems-2026,Creator Intelligence Systems,social-portrait,public/images/social/blog/creator-intelligence-systems-2026/portrait.png,/images/social/blog/creator-intelligence-systems-2026/portrait.png,https://www.frankx.ai/blog/creator-intelligence-systems-2026,creator,9,flagship,accepted,pending-upload-after-reauth
no-bad-parts-sovereign-ai,"No Bad Parts, Sovereign AI",hero,public/images/blog/generated/no-bad-parts-sovereign-ai-premium-hero.png,/images/blog/generated/no-bad-parts-sovereign-ai-premium-hero.png,https://www.frankx.ai/blog/no-bad-parts-sovereign-ai,builder,9,flagship,accepted,pending-upload-after-reauth
no-bad-parts-sovereign-ai,"No Bad Parts, Sovereign AI",social-wide,public/images/social/blog/no-bad-parts-sovereign-ai/wide.png,/images/social/blog/no-bad-parts-sovereign-ai/wide.png,https://www.frankx.ai/blog/no-bad-parts-sovereign-ai,builder,9,flagship,accepted,pending-upload-after-reauth
no-bad-parts-sovereign-ai,"No Bad Parts, Sovereign AI",social-square,public/images/social/blog/no-bad-parts-sovereign-ai/square.png,/images/social/blog/no-bad-parts-sovereign-ai/square.png,https://www.frankx.ai/blog/no-bad-parts-sovereign-ai,builder,9,flagship,accepted,pending-upload-after-reauth
no-bad-parts-sovereign-ai,"No Bad Parts, Sovereign AI",social-portrait,public/images/social/blog/no-bad-parts-sovereign-ai/portrait.png,/images/social/blog/no-bad-parts-sovereign-ai/portrait.png,https://www.frankx.ai/blog/no-bad-parts-sovereign-ai,builder,9,flagship,accepted,pending-upload-after-reauth
predictive-mind-reality-models,The Predictive Mind,hero,public/images/blog/generated/predictive-mind-reality-models-premium-hero.png,/images/blog/generated/predictive-mind-reality-models-premium-hero.png,https://www.frankx.ai/blog/predictive-mind-reality-models,builder,9,flagship,accepted,pending-upload-after-reauth
predictive-mind-reality-models,The Predictive Mind,social-wide,public/images/social/blog/predictive-mind-reality-models/wide.png,/images/social/blog/predictive-mind-reality-models/wide.png,https://www.frankx.ai/blog/predictive-mind-reality-models,builder,9,flagship,accepted,pending-upload-after-reauth
predictive-mind-reality-models,The Predictive Mind,social-square,public/images/social/blog/predictive-mind-reality-models/square.png,/images/social/blog/predictive-mind-reality-models/square.png,https://www.frankx.ai/blog/predictive-mind-reality-models,builder,9,flagship,accepted,pending-upload-after-reauth
predictive-mind-reality-models,The Predictive Mind,social-portrait,public/images/social/blog/predictive-mind-reality-models/portrait.png,/images/social/blog/predictive-mind-reality-models/portrait.png,https://www.frankx.ai/blog/predictive-mind-reality-models,builder,9,flagship,accepted,pending-upload-after-reauth
my-100-month-ai-stack-every-tool-i-actually-use,My $100/Month AI Stack,hero,public/images/blog/generated/my-100-month-ai-stack-every-tool-i-actually-use-premium-hero.png,/images/blog/generated/my-100-month-ai-stack-every-tool-i-actually-use-premium-hero.png,https://www.frankx.ai/blog/my-100-month-ai-stack-every-tool-i-actually-use,builder,9,flagship,accepted,pending-upload-after-reauth
my-100-month-ai-stack-every-tool-i-actually-use,My $100/Month AI Stack,social-wide,public/images/social/blog/my-100-month-ai-stack-every-tool-i-actually-use/wide.png,/images/social/blog/my-100-month-ai-stack-every-tool-i-actually-use/wide.png,https://www.frankx.ai/blog/my-100-month-ai-stack-every-tool-i-actually-use,builder,9,flagship,accepted,pending-upload-after-reauth
my-100-month-ai-stack-every-tool-i-actually-use,My $100/Month AI Stack,social-square,public/images/social/blog/my-100-month-ai-stack-every-tool-i-actually-use/square.png,/images/social/blog/my-100-month-ai-stack-every-tool-i-actually-use/square.png,https://www.frankx.ai/blog/my-100-month-ai-stack-every-tool-i-actually-use,builder,9,flagship,accepted,pending-upload-after-reauth
my-100-month-ai-stack-every-tool-i-actually-use,My $100/Month AI Stack,social-portrait,public/images/social/blog/my-100-month-ai-stack-every-tool-i-actually-use/portrait.png,/images/social/blog/my-100-month-ai-stack-every-tool-i-actually-use/portrait.png,https://www.frankx.ai/blog/my-100-month-ai-stack-every-tool-i-actually-use,builder,9,flagship,accepted,pending-upload-after-reauth
suno-ai-12000-songs-production-lessons,"12,000 Songs Later",hero,public/images/blog/generated/suno-ai-12000-songs-production-lessons-premium-hero.png,/images/blog/generated/suno-ai-12000-songs-production-lessons-premium-hero.png,https://www.frankx.ai/blog/suno-ai-12000-songs-production-lessons,creator,9,flagship,accepted,pending-upload-after-reauth
suno-ai-12000-songs-production-lessons,"12,000 Songs Later",social-wide,public/images/social/blog/suno-ai-12000-songs-production-lessons/wide.png,/images/social/blog/suno-ai-12000-songs-production-lessons/wide.png,https://www.frankx.ai/blog/suno-ai-12000-songs-production-lessons,creator,9,flagship,accepted,pending-upload-after-reauth
suno-ai-12000-songs-production-lessons,"12,000 Songs Later",social-square,public/images/social/blog/suno-ai-12000-songs-production-lessons/square.png,/images/social/blog/suno-ai-12000-songs-production-lessons/square.png,https://www.frankx.ai/blog/suno-ai-12000-songs-production-lessons,creator,9,flagship,accepted,pending-upload-after-reauth
suno-ai-12000-songs-production-lessons,"12,000 Songs Later",social-portrait,public/images/social/blog/suno-ai-12000-songs-production-lessons/portrait.png,/images/social/blog/suno-ai-12000-songs-production-lessons/portrait.png,https://www.frankx.ai/blog/suno-ai-12000-songs-production-lessons,creator,9,flagship,accepted,pending-upload-after-reauth
why-everyone-needs-personal-ai-coe,Your Personal AI CoE,hero,public/images/blog/generated/why-everyone-needs-personal-ai-coe-premium-hero.png,/images/blog/generated/why-everyone-needs-personal-ai-coe-premium-hero.png,https://www.frankx.ai/blog/why-everyone-needs-personal-ai-coe,founder,9,flagship,accepted,pending-upload-after-reauth
why-everyone-needs-personal-ai-coe,Your Personal AI CoE,social-wide,public/images/social/blog/why-everyone-needs-personal-ai-coe/wide.png,/images/social/blog/why-everyone-needs-personal-ai-coe/wide.png,https://www.frankx.ai/blog/why-everyone-needs-personal-ai-coe,founder,9,flagship,accepted,pending-upload-after-reauth
why-everyone-needs-personal-ai-coe,Your Personal AI CoE,social-square,public/images/social/blog/why-everyone-needs-personal-ai-coe/square.png,/images/social/blog/why-everyone-needs-personal-ai-coe/square.png,https://www.frankx.ai/blog/why-everyone-needs-personal-ai-coe,founder,9,flagship,accepted,pending-upload-after-reauth
why-everyone-needs-personal-ai-coe,Your Personal AI CoE,social-portrait,public/images/social/blog/why-everyone-needs-personal-ai-coe/portrait.png,/images/social/blog/why-everyone-needs-personal-ai-coe/portrait.png,https://www.frankx.ai/blog/why-everyone-needs-personal-ai-coe,founder,9,flagship,accepted,pending-upload-after-reauth
what-is-a-gencreator,What Is a GenCreator?,hero,public/images/blog/generated/what-is-a-gencreator-premium-hero.png,/images/blog/generated/what-is-a-gencreator-premium-hero.png,https://www.frankx.ai/blog/what-is-a-gencreator,creator,8,premium,accepted,pending-upload-after-reauth
what-is-a-gencreator,What Is a GenCreator?,social-wide,public/images/social/blog/what-is-a-gencreator/wide.png,/images/social/blog/what-is-a-gencreator/wide.png,https://www.frankx.ai/blog/what-is-a-gencreator,creator,8,premium,accepted,pending-upload-after-reauth
what-is-a-gencreator,What Is a GenCreator?,social-square,public/images/social/blog/what-is-a-gencreator/square.png,/images/social/blog/what-is-a-gencreator/square.png,https://www.frankx.ai/blog/what-is-a-gencreator,creator,8,premium,accepted,pending-upload-after-reauth
what-is-a-gencreator,What Is a GenCreator?,social-portrait,public/images/social/blog/what-is-a-gencreator/portrait.png,/images/social/blog/what-is-a-gencreator/portrait.png,https://www.frankx.ai/blog/what-is-a-gencreator,creator,8,premium,accepted,pending-upload-after-reauth
starlight-intelligence-system-how-ai-agents-learn,How AI Agents Learn,hero,public/images/blog/generated/starlight-intelligence-system-how-ai-agents-learn-premium-hero.png,/images/blog/generated/starlight-intelligence-system-how-ai-agents-learn-premium-hero.png,https://www.frankx.ai/blog/starlight-intelligence-system-how-ai-agents-learn,developer,8,premium,accepted,pending-upload-after-reauth
starlight-intelligence-system-how-ai-agents-learn,How AI Agents Learn,social-wide,public/images/social/blog/starlight-intelligence-system-how-ai-agents-learn/wide.png,/images/social/blog/starlight-intelligence-system-how-ai-agents-learn/wide.png,https://www.frankx.ai/blog/starlight-intelligence-system-how-ai-agents-learn,developer,8,premium,accepted,pending-upload-after-reauth
starlight-intelligence-system-how-ai-agents-learn,How AI Agents Learn,social-square,public/images/social/blog/starlight-intelligence-system-how-ai-agents-learn/square.png,/images/social/blog/starlight-intelligence-system-how-ai-agents-learn/square.png,https://www.frankx.ai/blog/starlight-intelligence-system-how-ai-agents-learn,developer,8,premium,accepted,pending-upload-after-reauth
starlight-intelligence-system-how-ai-agents-learn,How AI Agents Learn,social-portrait,public/images/social/blog/starlight-intelligence-system-how-ai-agents-learn/portrait.png,/images/social/blog/starlight-intelligence-system-how-ai-agents-learn/portrait.png,https://www.frankx.ai/blog/starlight-intelligence-system-how-ai-agents-learn,developer,8,premium,accepted,pending-upload-after-reauth
golden-age-of-creators-why-now-is-different,The Golden Age of Creators,hero,public/images/blog/generated/golden-age-of-creators-why-now-is-different-premium-hero.png,/images/blog/generated/golden-age-of-creators-why-now-is-different-premium-hero.png,https://www.frankx.ai/blog/golden-age-of-creators-why-now-is-different,creator,9,flagship,accepted,pending-upload-after-reauth
golden-age-of-creators-why-now-is-different,The Golden Age of Creators,social-wide,public/images/social/blog/golden-age-of-creators-why-now-is-different/wide.png,/images/social/blog/golden-age-of-creators-why-now-is-different/wide.png,https://www.frankx.ai/blog/golden-age-of-creators-why-now-is-different,creator,9,flagship,accepted,pending-upload-after-reauth
golden-age-of-creators-why-now-is-different,The Golden Age of Creators,social-square,public/images/social/blog/golden-age-of-creators-why-now-is-different/square.png,/images/social/blog/golden-age-of-creators-why-now-is-different/square.png,https://www.frankx.ai/blog/golden-age-of-creators-why-now-is-different,creator,9,flagship,accepted,pending-upload-after-reauth
golden-age-of-creators-why-now-is-different,The Golden Age of Creators,social-portrait,public/images/social/blog/golden-age-of-creators-why-now-is-different/portrait.png,/images/social/blog/golden-age-of-creators-why-now-is-different/portrait.png,https://www.frankx.ai/blog/golden-age-of-creators-why-now-is-different,creator,9,flagship,accepted,pending-upload-after-reauth
